Altitude (m),Elevation range,Producing Districts per Main Group,Head Count to Main Groups (2004),Head Count to Main Groups (2012),Change in Group size (2012 minus 2004),2009/10,2010/11,2011/12,Average
198,Low,8,68,63,-5,1170.5,660.7,182.8,671.3
198,Low,10,174,390,216,2104.8,1539,909.8,1517.8
200,Low,23,213,318,105,1268.3,1276.5,1415.5,1320.1
209,Low,7,149,140,-9,649.2,326.3,102.3,359.2
237,Low,10,105,306,201,2516.8,1988.5,2787.3,2430.8
237,Low,3,56,7,-49,7,4.5,10,7.2
266,Low,1,85,131,46,476.3,290.5,290.2,352.3
302,Low,5,79,223,144,3626,3460.3,2919.2,3335.2
335,Low,9,36,75,39,1544.3,625,644.3,937.8
351,Low,6,84,324,240,8996,6952,5457.6,7135.2
505,Low,1,44,198,154,725,430.3,1625,926.8
524,Low,7,67,106,39,1601.5,508.9,576.8,895.7
536,Low,5,78,302,224,6836.8,6479,3393.9,5569.9
646,Mid,7,217,539,322,10204.3,11624.7,2977.6,8268.9
683,Mid,4,104,312,208,2006.7,1757.8,1503.4,1756
742,Mid,2,43,137,94,1504.5,886,579.3,989.9
747,Mid,7,111,257,146,5958.3,2985.4,2505,3816.2
783,Mid,1,32,140,108,3969.2,1713.5,2150,2610.9
839,Mid,5,19,190,171,6788.8,922.5,118.5,2609.9
1221,High,8,114,477,363,9558.3,8263,8576,8799.1
73,Low,8,78,223,145,2848,1653.5,1673.4,2058.3
79,Low,6,105,241,136,1187.5,1102.4,1110.2,1133.4
102,Low,7,97,107,10,1221.3,390.2,241.5,617.7
157,Low,1,48,54,6,337,92.8,149,192.9
191,Low,2,127,217,90,1974.3,1958.2,1571.7,1834.7
197,Low,5,227,271,44,2050.8,2557.2,1237.5,1948.5
208,Low,9,95,247,152,2667.5,1497.5,1435.7,1866.9
282,Low,13,85,1244,1159,14785.7,20728.5,5864.4,13792.9
301,Low,7,47,30,-17,137,0,0,45.7
334,Low,1,33,162,129,909,834,1978,1240.3
343,Low,5,86,154,68,1655,1642.7,1623,1640.2
388,Low,1,276,165,-111,4334.8,4267.8,1963.8,3522.1
428,Low,13,145,507,362,5773,4642,3679.3,4698.1
480,Low,1,54,0,-54,0,0,0,0
520,Low,1,86,263,177,3312.4,2154.5,860,2109
546,Low,5,230,609,379,5928.9,8981.8,1969.5,5626.8
651,Mid,1,56,260,204,1576.3,2475.5,410.8,1487.5
818,Mid,1,116,284,168,1648.3,2031.4,1913.3,1864.3
865,Mid,1,276,7,-269,6.5,6.5,0,4.3
871,Mid,5,210,545,335,3189.4,1996.3,3161,2782.2
308,Low,17,313,594,281,9028.3,4279,2097.9,5135
312,Low,12,78,30,-48,186.3,164.3,36,128.8
322,Low,9,179,270,91,3700.6,4005.3,3686.6,3797.5
402,Low,4,88,0,-88,0,0,0,0
448,Low,5,72,384,312,8778.9,11684.2,3402,7955
492,Low,2,80,68,-12,1328,496,185,669.7
497,Low,6,47,0,-47,0,0,0,0
514,Low,1,57,65,8,981,449,623,684.3
522,Low,5,84,213,129,3458.3,2087.3,1100.9,2215.5
595,Low,1,83,96,13,897.8,715,565.6,726.1
630,Mid,15,257,1380,1123,18735.8,19773.8,7991.8,15500.5
658,Mid,7,146,425,279,16006.6,14512.8,7070.8,12530.1
783,Mid,15,356,1054,698,9785.8,13713.2,3935.3,9144.8
820,Mid,8,123,80,-43,1953,1197.5,1142.3,1430.9
820,Mid,1,37,584,547,4628,4019.2,3396,4014.4
827,Mid,9,92,393,301,4069.8,2811.3,2479.5,3120.2
861,Mid,3,33,755,722,12091.8,6380,9549.3,9340.3
888,High,7,119,836,717,7373.5,5958,4123.5,5818.3
938,High,1,2,1,-1,1066,2195.5,1416,1559.2
980,High,9,286,915,629,20619,21681.3,16970.8,19757
981,High,3,160,462,302,5702.5,1942,1492,3045.5
1050,High,5,147,239,92,5885.3,4134.3,5740.5,5253.3
1274,High,2,77,584,507,7254.2,7385.5,7424.3,7354.7
